year,original_b,original_Pn,original_S,original_c',original_I!,original_SP,original_s',original_s'u,original_u,original_r',original_K g,original_nan,original_KK,original_s,original_I,original_s'«u,original_fn,original_gK,original_K,calculated_surplus_value,calculated_rate_of_profit,calculated_organic_composition,calculated_rate_of_surplus_value,calculated_capacity_utilization,calculated_capital_stock,calculated_investment,calculated_surplus_capital_ratio,calculated_investment_rate,calculated_surplus_value_growth,calculated_capital_stock_growth,calculated_investment_growth,corporate_profits,capacity_utilization,klems_capital,klems_surplus,klems_gross_output,klems_value_added,klems_labor_hours,klems_labor_compensation_col,klems_labor_compensation_nocol,modern_K_st_consistent,modern_SP_st_consistent
1968,0.64,175.58,493.63,0.82,89.23,493.12,0.18,0.18,0.99,0.41,0.15,0.074,1202.5,,,,,,,493.63,0.41,0.82,0.18,0.99,1202.5,89.23,0.4105031185031185,0.0742037422037422,0.0863336267605634,0.1001829826166513,0.0843358852837525,,,,,,,,,,1804747.0,
1969,0.66,177.83,523.83,0.81,100.75,523.25,0.19,0.19,0.99,0.4,0.14,0.076,1320.9,,,,,,,523.83,0.4,0.81,0.19,0.99,1320.9,100.75,0.3965705200999319,0.0762737527443409,0.0611794258857849,0.0984615384615386,0.1291045612462176,,,,,,,,,,1962901.0,
1970,0.67,179.61,547.67,0.83,93.49,546.86,0.17,0.15,0.9,0.42,0.14,0.064,1453.4,,,,,,,547.67,0.42,0.83,0.17,0.9,1453.4,93.49,0.3768198706481354,0.0643250309618824,0.0455109482083879,0.1003103944280414,-0.072059553349876,,,,,,,,,,2120971.0,
1971,0.66,204.43,596.7,0.81,112.14,596.04,0.19,0.17,0.88,0.42,0.15,0.07,1598.9,,,,,,,596.7,0.42,0.81,0.19,0.88,1598.9,112.14,0.3731940709237601,0.0701357183063356,0.0895247137874999,0.1001100866932709,0.1994865761043962,,,,,,,,,,2352693.0,
1972,0.65,225.26,645.98,0.79,134.63,645.51,0.21,0.19,0.93,0.4,0.14,0.077,1737.7,,,,,,,645.98,0.4,0.79,0.21,0.93,1737.7,134.63,0.371744259653565,0.0774759739886056,0.0825875649405061,0.0868096816561385,0.2005528803281611,,,,,,,,,,2593933.0,
1973,0.64,258.07,719.75,0.78,160.1,719.63,0.22,0.21,0.0,0.39,0.14,0.083,1940.3,,,,,,,719.75,0.39,0.78,0.22,0.0,1940.3,160.1,0.3709477915786218,0.0825130134515281,0.1141985819994426,0.1165908960119697,0.1891851741810888,,,,,,,,,,2947079.0,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3468501.0,
1975,,,,0.8,,778.82,0.2,,0.9,0.36,,,,778.25,152.3,0.18,0.12,0.064,2387.1,,0.36,0.8,0.2,0.9,,,,,0.0,0.0,0.0,,,,,,,,,,3786126.0,
1976,,,,0.86,,868.78,0.14,,0.79,0.41,,,,867.02,120.41,0.11,0.14,0.045,2661.7,,0.41,0.86,0.14,0.79,,,,,0.0,0.0,0.0,,,,,,,,,,4168964.0,
1977,,,,0.83,,971.25,0.17,,0.83,0.4,,,,968.82,163.83,0.14,0.14,0.056,2920.8,,0.4,0.83,0.17,0.83,,,,,0.0,0.0,0.0,,,,,,,,,,4735809.0,
1978,,,,0.8,,1086.66,0.2,,0.87,0.38,,,,1083.13,212.85,0.17,0.13,0.065,3253.5,,0.38,0.8,0.2,0.87,,,,,0.0,0.0,0.0,,,,,,,,,,5412663.0,
1979,,,,0.78,,1221.76,0.22,,0.89,0.36,,,,1221.07,268.03,0.2,0.13,0.071,3774.6,,0.36,0.78,0.22,0.89,,,,,0.0,0.0,0.0,,,,,,,,,,6264478.0,
1980,,,,0.79,,1347.44,0.21,,0.89,0.36,,,,1346.24,288.23,0.19,0.13,0.068,4225.2,,0.36,0.79,0.21,0.89,,,,,0.0,0.0,0.0,,,,,,,,,,7117861.0,
1981,,,,0.83,,1463.67,0.17,,0.85,0.36,,,,1462.7,254.39,0.15,0.12,0.053,4884.4,,0.36,0.83,0.17,0.85,,,,,0.0,0.0,0.0,,,,,,,,,,7860432.0,
1982,,,,0.81,,1669.4,0.19,,0.84,0.36,,,,1668.19,323.44,0.16,0.12,0.059,5503.7,,0.36,0.81,0.19,0.84,,,,,0.0,0.0,0.0,,,,,,,,,,8297204.0,
1983,,,,0.86,,1726.06,0.14,,0.77,0.38,,,,1724.68,249.11,0.11,0.12,0.043,5859.2,,0.38,0.86,0.14,0.77,,,,,0.0,0.0,0.0,,,,,,,,,,8599570.0,
1984,,,,0.84,,1867.15,0.16,,0.84,0.36,,,,1865.8,290.23,0.13,0.12,0.048,6094.71,,0.36,0.84,0.16,0.84,,,,,0.0,0.0,0.0,,,,,,,,,,9112473.0,
1985,,,,0.8,,2103.7,0.2,,0.89,0.37,,,,2101.78,429.23,0.18,0.13,0.067,6432.91,,0.37,0.8,0.2,0.89,,,,,0.0,0.0,0.0,,,,,,,,,,9619035.0,
1986,,,,0.83,,2258.31,0.17,,0.89,0.38,,,,2258.68,392.53,0.16,0.13,0.059,6706.44,,0.38,0.83,0.17,0.89,,,,,0.0,0.0,0.0,,,,,,,,,,10230761.0,
1987,,,,0.83,,2389.25,0.17,,0.85,0.4,,,,2401.11,398.85,0.14,0.14,0.057,7056.52,,0.4,0.83,0.17,0.85,,,,,0.0,0.0,0.0,,,,,,,,,,10843464.0,
1988,,,,0.83,,2555.52,0.17,,0.87,0.39,,,,2563.38,422.29,0.14,0.13,0.057,7459.32,,0.39,0.83,0.17,0.87,,,,,0.0,0.0,0.0,,,,,,,,,,11536165.0,
1989,,,,0.84,,2755.18,0.16,,0.9,0.39,,,,2752.81,441.91,0.14,0.13,0.056,7895.58,,0.39,0.84,0.16,0.9,,,,,0.0,0.0,0.0,,,,,,,,,,12203075.0,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,84.512,,,,,,,,12773557.0,1251210.0
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,79.43,,,,,,,,13058846.0,1258240.0
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,81.647,,,,,,,,13609239.0,1339505.0
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,85.84,,,,,,,,14321803.0,1443960.0
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,91.426,,,,,,,,15203006.0,1590321.0
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,89.988,,,,,,,,15951511.0,1641905.0
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,89.159,,,,,,,,16767551.0,1767272.0
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,89.69,12589.563,8493776.0,15309837.0,8493776.0,6988.424,2314897.0,2906518.0,17703444.0,1874417.0
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,87.366,13009.834,8963178.0,16117407.0,8963178.0,6986.693,2508190.0,3076493.0,18775357.0,1876908.0
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,86.381,13475.816,9506431.0,17148636.0,9506431.0,7011.269,2705826.0,3196796.0,20026897.0,1970387.0
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,82.867,13905.251,10064234.0,18438954.0,10064234.0,6954.311,2924633.0,3399100.0,21418042.0,1975917.0
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,73.634,14261.806,10543329.0,18845891.0,10543329.0,6679.01,3100420.0,3484441.0,22706389.0,1972977.0
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,76.803,14498.311,10889005.0,19133667.0,10889005.0,6377.783,3194393.0,3484595.0,23838715.0,2111683.0
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,75.974,14705.67,11478320.0,20162550.0,11478320.0,6217.591,3299530.0,3629424.0,25199215.0,2321719.0
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,83.596,14941.413,12250912.0,21722850.0,12250912.0,6224.14,3556501.0,3775913.0,27736825.0,2568307.0
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,81.355,15255.761,13213768.0,23692434.0,13213768.0,6253.933,3756985.0,3963444.0,30579829.0,2850128.0
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,80.46,15720.967,14041619.0,25151558.0,14041619.0,6325.545,4028095.0,4135424.0,32899164.0,3010002.0
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,80.847,16292.213,14688359.0,26464446.0,14688359.0,6315.537,4257243.0,4259640.0,34054828.0,3072318.0
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,77.881,16878.362,14919110.0,27174184.0,14919110.0,6202.518,4330373.0,4250351.0,34883695.0,2949985.0
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,55.027,17271.859,14515649.0,24996914.0,14515649.0,5700.2210000000005,4385252.0,3982375.0,33991830.0,2891524.0
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,69.272,17482.156,15044840.0,26475337.0,15044840.0,5704.882,4531267.0,3985786.0,34464729.0,3248405.0
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,75.42,17769.647,15601000.0,28051523.0,15601000.0,5810.459,4693341.0,4087288.0,35442108.0,3373459.0
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,74.582,18063.486,16327490.0,29305675.0,16327490.0,5929.186,5019833.0,4200998.0,36554177.0,3548196.0
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,75.889,18315.877,17012849.0,30520951.0,17012849.0,6009.06,5229550.0,4261092.0,38535411.0,3772798.0
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,74.499,18563.013,17755687.0,31943294.0,17755687.0,6147.569,5418068.0,4462714.0,40336033.0,3920391.0
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,68.662,18740.071,18424888.0,32363815.0,18424888.0,6225.525,5718487.0,4636325.0,41462448.0,4005172.0
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,66.427,18862.794,18949708.0,33042977.0,18949708.0,6239.806,5979945.0,4691026.0,43394946.0,4107298.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,66.017,18900.0,19761716.0,34617741.0,19761716.0,6300.0,6285366.0,4856952.0,45255386.0,4260586.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,71.131,19060.301,20914994.0,36762991.0,20914994.0,6424.928,6705565.0,4998408.0,47621638.0,4535691.0
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,70.866,19361.342,21833538.0,37951510.0,21833538.0,6534.789,7017838.0,5179362.0,49625450.0,4676509.0
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,62.321,19695.064,21740214.0,37096223.0,21740214.0,6019.632,7210333.0,4819172.0,51906171.0,4109889.0
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,71.773,20027.286,24175240.0,42303412.0,24175240.0,6328.848,7800505.0,5259271.0,59312969.0,5170093.0
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,71.779,20455.55,26676732.0,47303302.0,26676732.0,6706.666,8418605.0,5847410.0,66405057.0,5993107.0
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,70.977,20794.118,28382567.0,49048670.0,28382567.0,6721.542,8776038.0,6265914.0,68096195.0,6458807.0
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,69.443,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.586,,,,,,,,,
