year,original_b,original_Pn,original_S,original_c',original_I!,original_SP,original_s',original_s'u,original_u,original_r',original_K g,original_nan,original_KK,original_s,original_I,original_s'«u,original_fn,original_gK,original_K,calculated_surplus_value,calculated_rate_of_profit,calculated_organic_composition,calculated_rate_of_surplus_value,calculated_capacity_utilization,calculated_capital_stock,calculated_investment,calculated_surplus_capital_ratio,calculated_investment_rate,calculated_surplus_value_growth,calculated_capital_stock_growth,calculated_investment_growth
1968,0.64,175.58,493.63,0.82,89.23,493.12,0.18,0.18,0.99,0.41,0.15,0.074,1202.5,,,,,,,493.63,0.41,0.82,0.18,0.99,1202.5,89.23,0.4105031185031185,0.0742037422037422,0.08633362676056344,0.10018298261665137,0.08433588528375258
1969,0.66,177.83,523.83,0.81,100.75,523.25,0.19,0.19,0.99,0.4,0.14,0.076,1320.9,,,,,,,523.83,0.4,0.81,0.19,0.99,1320.9,100.75,0.3965705200999319,0.07627375274434098,0.061179425885784955,0.0984615384615386,0.1291045612462176
1970,0.67,179.61,547.67,0.83,93.49,546.86,0.17,0.15,0.9,0.42,0.14,0.064,1453.4,,,,,,,547.67,0.42,0.83,0.17,0.9,1453.4,93.49,0.3768198706481354,0.06432503096188248,0.04551094820838797,0.10031039442804146,-0.07205955334987602
1971,0.66,204.43,596.7,0.81,112.14,596.04,0.19,0.17,0.88,0.42,0.15,0.07,1598.9,,,,,,,596.7,0.42,0.81,0.19,0.88,1598.9,112.14,0.3731940709237601,0.0701357183063356,0.08952471378749993,0.10011008669327093,0.19948657610439624
1972,0.65,225.26,645.98,0.79,134.63,645.51,0.21,0.19,0.93,0.4,0.14,0.077,1737.7,,,,,,,645.98,0.4,0.79,0.21,0.93,1737.7,134.63,0.37174425965356506,0.07747597398860562,0.08258756494050612,0.08680968165613856,0.2005528803281611
1973,0.64,258.07,719.75,0.78,160.1,719.63,0.22,0.21,0.0,0.39,0.14,0.083,1940.3,,,,,,,719.75,0.39,0.78,0.22,0.0,1940.3,160.1,0.37094779157862184,0.08251301345152812,0.11419858199944266,0.1165908960119697,0.18918517418108882
1975,,,,0.8,,778.82,0.2,,0.9,0.36,,,,778.25,152.3,0.18,0.12,0.064,2387.1,,0.36,0.8,0.2,0.9,,,,,0.0,0.0,0.0
1976,,,,0.86,,868.78,0.14,,0.79,0.41,,,,867.02,120.41,0.11,0.14,0.045,2661.7,,0.41,0.86,0.14,0.79,,,,,0.0,0.0,0.0
1977,,,,0.83,,971.25,0.17,,0.83,0.4,,,,968.82,163.83,0.14,0.14,0.056,2920.8,,0.4,0.83,0.17,0.83,,,,,0.0,0.0,0.0
1978,,,,0.8,,1086.66,0.2,,0.87,0.38,,,,1083.13,212.85,0.17,0.13,0.065,3253.5,,0.38,0.8,0.2,0.87,,,,,0.0,0.0,0.0
1979,,,,0.78,,1221.76,0.22,,0.89,0.36,,,,1221.07,268.03,0.2,0.13,0.071,3774.6,,0.36,0.78,0.22,0.89,,,,,0.0,0.0,0.0
1980,,,,0.79,,1347.44,0.21,,0.89,0.36,,,,1346.24,288.23,0.19,0.13,0.068,4225.2,,0.36,0.79,0.21,0.89,,,,,0.0,0.0,0.0
1981,,,,0.83,,1463.67,0.17,,0.85,0.36,,,,1462.7,254.39,0.15,0.12,0.053,4884.4,,0.36,0.83,0.17,0.85,,,,,0.0,0.0,0.0
1982,,,,0.81,,1669.4,0.19,,0.84,0.36,,,,1668.19,323.44,0.16,0.12,0.059,5503.7,,0.36,0.81,0.19,0.84,,,,,0.0,0.0,0.0
1983,,,,0.86,,1726.06,0.14,,0.77,0.38,,,,1724.68,249.11,0.11,0.12,0.043,5859.2,,0.38,0.86,0.14,0.77,,,,,0.0,0.0,0.0
1984,,,,0.84,,1867.15,0.16,,0.84,0.36,,,,1865.8,290.23,0.13,0.12,0.048,6094.71,,0.36,0.84,0.16,0.84,,,,,0.0,0.0,0.0
1985,,,,0.8,,2103.7,0.2,,0.89,0.37,,,,2101.78,429.23,0.18,0.13,0.067,6432.91,,0.37,0.8,0.2,0.89,,,,,0.0,0.0,0.0
1986,,,,0.83,,2258.31,0.17,,0.89,0.38,,,,2258.68,392.53,0.16,0.13,0.059,6706.44,,0.38,0.83,0.17,0.89,,,,,0.0,0.0,0.0
1987,,,,0.83,,2389.25,0.17,,0.85,0.4,,,,2401.11,398.85,0.14,0.14,0.057,7056.52,,0.4,0.83,0.17,0.85,,,,,0.0,0.0,0.0
1988,,,,0.83,,2555.52,0.17,,0.87,0.39,,,,2563.38,422.29,0.14,0.13,0.057,7459.32,,0.39,0.83,0.17,0.87,,,,,0.0,0.0,0.0
1989,,,,0.84,,2755.18,0.16,,0.9,0.39,,,,2752.81,441.91,0.14,0.13,0.056,7895.58,,0.39,0.84,0.16,0.9,,,,,0.0,0.0,0.0
1990,,,,0.85,,2945.32,0.15,,0.89,0.39,,,,2943.35,447.63,0.14,0.14,0.053,8387.49,,0.39,0.85,0.15,0.89,,,,,0.0,0.0,0.0
