Workbook,Sheet,Year,Value,Industry Description
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2011,205715.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2012,210886.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2013,236706.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2014,254680.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2015,143436.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2016,124688.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2017,152768.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2018,176714.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2019,161570.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2020,95495.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2021,206377.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2022,293428.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2023,237893.0,Oil and gas extraction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1997,24964.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1998,27572.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1999,27914.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2000,26974.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2001,26308.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2002,25863.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2003,27493.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2004,31733.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2005,40515.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2006,49312.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2007,55330.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2008,58338.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2009,59216.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2010,66686.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2011,72910.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2012,63331.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2013,57549.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2014,53349.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2015,45420.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2016,42574.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2017,49887.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2018,49352.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2019,50265.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2020,55075.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2021,64038.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2022,72695.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2023,78678.0,"Mining, except oil and gas"
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1997,13456.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1998,13577.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1999,11100.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2000,13777.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2001,19678.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2002,15156.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2003,16796.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2004,19840.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2005,26694.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2006,42490.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2007,49990.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2008,59235.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2009,41211.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2010,47422.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2011,61798.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2012,68321.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2013,74676.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2014,91878.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2015,62499.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2016,36027.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2017,53711.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2018,71518.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2019,67866.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2020,41192.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2021,42624.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2022,62816.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2023,71312.0,Support activities for mining
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1997,154499.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1998,146480.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1999,162065.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2000,161581.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2001,168058.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2002,157044.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2003,162117.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2004,176639.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2005,173551.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2006,199532.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2007,203472.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2008,212402.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2009,228636.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2010,249178.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2011,257686.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2012,249756.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2013,256743.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2014,268383.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2015,270950.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2016,273997.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2017,284379.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2018,289983.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2019,300760.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2020,314892.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2021,358723.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2022,408617.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2023,411045.0,Utilities
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1997,338921.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1998,379099.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1999,416985.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2000,460423.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2001,485527.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2002,492663.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2003,524309.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2004,583591.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2005,650387.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2006,695665.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2007,714284.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2008,647858.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2009,564266.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2010,524645.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2011,524414.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2012,553670.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2013,593353.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2014,648447.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2015,713701.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2016,775065.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2017,838364.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2018,887065.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2019,950776.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2020,955615.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2021,1009220.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2022,1111500.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2023,1217670.0,Construction
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1997,26709.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1998,27425.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1999,29282.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2000,28209.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2001,27138.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2002,27170.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2003,28619.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2004,32470.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2005,34585.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2006,31543.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2007,28966.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2008,25522.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2009,21126.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2010,23243.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2011,23600.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2012,25734.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2013,30115.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2014,30230.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2015,31363.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2016,33566.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2017,35568.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2018,36791.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2019,36687.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2020,42768.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2021,59063.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2022,63867.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2023,61890.0,Wood products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1997,39697.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1998,40768.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1999,43160.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2000,42528.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2001,41202.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2002,41720.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2003,41923.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2004,45182.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2005,48713.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2006,50379.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2007,50157.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2008,44660.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2009,38751.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2010,38309.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2011,38839.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2012,42614.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2013,46708.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2014,48524.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2015,52880.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2016,54923.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2017,58351.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2018,59254.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2019,62882.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2020,63647.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2021,67664.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2022,71774.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2023,76534.0,Nonmetallic mineral products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1997,47974.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1998,48859.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1999,46090.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2000,46928.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2001,40174.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2002,41587.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2003,39176.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2004,54878.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2005,56120.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2006,62560.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2007,64434.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2008,68733.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2009,41011.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2010,50837.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2011,62544.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2012,65651.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2013,62569.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2014,64376.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2015,60381.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2016,57221.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2017,59640.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2018,67644.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2019,67286.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2020,56054.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2021,72985.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2022,84618.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2023,83790.0,Primary metals
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1997,109827.0,Fabricated metal products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1998,111510.0,Fabricated metal products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,1999,115847.0,Fabricated metal products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2000,121073.0,Fabricated metal products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2001,110720.0,Fabricated metal products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2002,105911.0,Fabricated metal products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2003,108300.0,Fabricated metal products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2004,114457.0,Fabricated metal products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2005,122169.0,Fabricated metal products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2006,126558.0,Fabricated metal products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2007,134713.0,Fabricated metal products
BEA-BLS-industry-level-production-account-1997-2023.xlsx,Value Added,2008,132809.0,Fabricated metal products
