Industry Description,Year,Value
"Mining, except oil and gas",1999,11047.0
"Mining, except oil and gas",2000,10854.0
"Mining, except oil and gas",2001,10941.0
"Mining, except oil and gas",2002,10081.0
"Mining, except oil and gas",2003,10428.0
"Mining, except oil and gas",2004,11123.0
"Mining, except oil and gas",2005,12059.0
"Mining, except oil and gas",2006,13114.0
"Mining, except oil and gas",2007,13343.0
"Mining, except oil and gas",2008,14463.0
"Mining, except oil and gas",2009,13084.0
"Mining, except oil and gas",2010,13574.0
"Mining, except oil and gas",2011,14591.0
"Mining, except oil and gas",2012,14978.0
"Mining, except oil and gas",2013,14307.0
"Mining, except oil and gas",2014,14357.0
"Mining, except oil and gas",2015,14046.0
"Mining, except oil and gas",2016,12567.0
"Mining, except oil and gas",2017,13445.0
"Mining, except oil and gas",2018,14513.0
"Mining, except oil and gas",2019,14604.0
"Mining, except oil and gas",2020,13128.0
"Mining, except oil and gas",2021,14062.0
"Mining, except oil and gas",2022,15446.0
"Mining, except oil and gas",2023,16944.0
Support activities for mining,1997,6227.0
Support activities for mining,1998,6655.0
Support activities for mining,1999,6380.0
Support activities for mining,2000,7186.0
Support activities for mining,2001,8667.0
Support activities for mining,2002,7255.0
Support activities for mining,2003,7863.0
Support activities for mining,2004,8584.0
Support activities for mining,2005,10653.0
Support activities for mining,2006,13941.0
Support activities for mining,2007,16414.0
Support activities for mining,2008,19008.0
Support activities for mining,2009,15193.0
Support activities for mining,2010,16587.0
Support activities for mining,2011,21129.0
Support activities for mining,2012,24580.0
Support activities for mining,2013,25252.0
Support activities for mining,2014,28605.0
Support activities for mining,2015,22285.0
Support activities for mining,2016,15374.0
Support activities for mining,2017,18185.0
Support activities for mining,2018,21672.0
Support activities for mining,2019,22118.0
Support activities for mining,2020,14294.0
Support activities for mining,2021,14001.0
Support activities for mining,2022,18632.0
Support activities for mining,2023,21829.0
Utilities,1997,28549.0
Utilities,1998,28311.0
Utilities,1999,29926.0
Utilities,2000,32537.0
Utilities,2001,34229.0
Utilities,2002,33272.0
Utilities,2003,33259.0
Utilities,2004,33598.0
Utilities,2005,34219.0
Utilities,2006,36916.0
Utilities,2007,37663.0
Utilities,2008,39082.0
Utilities,2009,38636.0
Utilities,2010,38849.0
Utilities,2011,40927.0
Utilities,2012,39474.0
Utilities,2013,40047.0
Utilities,2014,41743.0
Utilities,2015,42541.0
Utilities,2016,43609.0
Utilities,2017,43415.0
Utilities,2018,44316.0
Utilities,2019,45651.0
Utilities,2020,47754.0
Utilities,2021,47041.0
Utilities,2022,48522.0
Utilities,2023,49118.0
Construction,1997,256753.0
Construction,1998,273550.0
Construction,1999,289374.0
Construction,2000,329046.0
Construction,2001,337759.0
Construction,2002,334346.0
Construction,2003,338996.0
Construction,2004,372040.0
Construction,2005,399889.0
Construction,2006,428790.0
Construction,2007,444045.0
Construction,2008,430963.0
Construction,2009,364880.0
Construction,2010,342289.0
Construction,2011,346322.0
Construction,2012,356608.0
Construction,2013,378681.0
Construction,2014,416551.0
Construction,2015,447972.0
Construction,2016,467423.0
Construction,2017,495682.0
Construction,2018,524628.0
Construction,2019,560408.0
Construction,2020,511648.0
Construction,2021,566851.0
Construction,2022,632942.0
Construction,2023,657549.0
Wood products,1997,16874.0
Wood products,1998,18211.0
Wood products,1999,18947.0
Wood products,2000,19155.0
Wood products,2001,19311.0
Wood products,2002,18765.0
Wood products,2003,18745.0
Wood products,2004,19978.0
Wood products,2005,21319.0
Wood products,2006,20787.0
Wood products,2007,19935.0
Wood products,2008,18099.0
Wood products,2009,13868.0
Wood products,2010,13665.0
Wood products,2011,14066.0
Wood products,2012,14173.0
Wood products,2013,14607.0
Wood products,2014,15979.0
Wood products,2015,16879.0
Wood products,2016,17362.0
Wood products,2017,18378.0
Wood products,2018,19674.0
Wood products,2019,20831.0
Wood products,2020,19942.0
Wood products,2021,22557.0
Wood products,2022,25395.0
Wood products,2023,26351.0
Nonmetallic mineral products,1997,17675.0
Nonmetallic mineral products,1998,18868.0
Nonmetallic mineral products,1999,19438.0
Nonmetallic mineral products,2000,20331.0
Nonmetallic mineral products,2001,21154.0
Nonmetallic mineral products,2002,20794.0
Nonmetallic mineral products,2003,20611.0
Nonmetallic mineral products,2004,21081.0
Nonmetallic mineral products,2005,21803.0
Nonmetallic mineral products,2006,22572.0
Nonmetallic mineral products,2007,22658.0
Nonmetallic mineral products,2008,20971.0
Nonmetallic mineral products,2009,16991.0
Nonmetallic mineral products,2010,16744.0
Nonmetallic mineral products,2011,17100.0
Nonmetallic mineral products,2012,17385.0
Nonmetallic mineral products,2013,17344.0
Nonmetallic mineral products,2014,18493.0
Nonmetallic mineral products,2015,19416.0
Nonmetallic mineral products,2016,19987.0
Nonmetallic mineral products,2017,21062.0
Nonmetallic mineral products,2018,21415.0
Nonmetallic mineral products,2019,21786.0
Nonmetallic mineral products,2020,20217.0
Nonmetallic mineral products,2021,21763.0
Nonmetallic mineral products,2022,23791.0
Nonmetallic mineral products,2023,25559.0
Primary metals,1997,24996.0
Primary metals,1998,26233.0
Primary metals,1999,26251.0
Primary metals,2000,26554.0
Primary metals,2001,25171.0
Primary metals,2002,23282.0
Primary metals,2003,22790.0
Primary metals,2004,23910.0
Primary metals,2005,23920.0
Primary metals,2006,24868.0
Primary metals,2007,24920.0
Primary metals,2008,25217.0
Primary metals,2009,19194.0
Primary metals,2010,19921.0
Primary metals,2011,22204.0
Primary metals,2012,23057.0
Primary metals,2013,22348.0
Primary metals,2014,23052.0
Primary metals,2015,22738.0
Primary metals,2016,21613.0
Primary metals,2017,22826.0
Primary metals,2018,24032.0
Primary metals,2019,24143.0
Primary metals,2020,20375.0
Primary metals,2021,23614.0
Primary metals,2022,26566.0
Primary metals,2023,28326.0
Fabricated metal products,1997,57585.0
Fabricated metal products,1998,61406.0
Fabricated metal products,1999,62016.0
Fabricated metal products,2000,64931.0
Fabricated metal products,2001,64203.0
Fabricated metal products,2002,61285.0
Fabricated metal products,2003,60746.0
Fabricated metal products,2004,63723.0
Fabricated metal products,2005,65697.0
Fabricated metal products,2006,69001.0
Fabricated metal products,2007,71089.0
Fabricated metal products,2008,70798.0
Fabricated metal products,2009,61090.0
Fabricated metal products,2010,61345.0
Fabricated metal products,2011,65586.0
Fabricated metal products,2012,69692.0
Fabricated metal products,2013,69497.0
Fabricated metal products,2014,73439.0
Fabricated metal products,2015,73606.0
Fabricated metal products,2016,71801.0
Fabricated metal products,2017,74686.0
Fabricated metal products,2018,78435.0
Fabricated metal products,2019,79070.0
Fabricated metal products,2020,71680.0
Fabricated metal products,2021,75826.0
Fabricated metal products,2022,84311.0
Fabricated metal products,2023,89462.0
Machinery,1997,49827.0
Machinery,1998,52610.0
Machinery,1999,51784.0
Machinery,2000,53264.0
Machinery,2001,51853.0
Machinery,2002,47514.0
Machinery,2003,46131.0
Machinery,2004,48096.0
Machinery,2005,48482.0
Machinery,2006,50429.0
Machinery,2007,52139.0
Machinery,2008,52276.0
Machinery,2009,44608.0
Machinery,2010,44796.0
Machinery,2011,49184.0
Machinery,2012,51345.0
Machinery,2013,50399.0
Machinery,2014,52765.0
Machinery,2015,52944.0
Machinery,2016,49549.0
Machinery,2017,51458.0
Machinery,2018,53418.0
Machinery,2019,54208.0
Machinery,2020,47773.0
Machinery,2021,51451.0
Machinery,2022,56622.0
Machinery,2023,60889.0
Computer and electronic products,1997,49838.0
Computer and electronic products,1998,51363.0
Computer and electronic products,1999,57224.0
Computer and electronic products,2000,62010.0
Computer and electronic products,2001,57569.0
Computer and electronic products,2002,47974.0
Computer and electronic products,2003,41468.0
Computer and electronic products,2004,36518.0
Computer and electronic products,2005,39759.0
Computer and electronic products,2006,41855.0
Computer and electronic products,2007,41614.0
Computer and electronic products,2008,38866.0
Computer and electronic products,2009,34278.0
Computer and electronic products,2010,34924.0
Computer and electronic products,2011,36114.0
Computer and electronic products,2012,35300.0
Computer and electronic products,2013,34401.0
Computer and electronic products,2014,35609.0
Computer and electronic products,2015,36491.0
Computer and electronic products,2016,36421.0
Computer and electronic products,2017,38083.0
Computer and electronic products,2018,38523.0
Computer and electronic products,2019,39377.0
Computer and electronic products,2020,40694.0
Computer and electronic products,2021,42669.0
Computer and electronic products,2022,43069.0
Computer and electronic products,2023,46908.0
"Electrical equipment, appliances, and components",1997,18215.0
"Electrical equipment, appliances, and components",1998,18697.0
"Electrical equipment, appliances, and components",1999,20235.0
"Electrical equipment, appliances, and components",2000,20849.0
"Electrical equipment, appliances, and components",2001,20443.0
"Electrical equipment, appliances, and components",2002,18541.0
"Electrical equipment, appliances, and components",2003,16948.0
"Electrical equipment, appliances, and components",2004,16415.0
"Electrical equipment, appliances, and components",2005,17082.0
"Electrical equipment, appliances, and components",2006,17713.0
"Electrical equipment, appliances, and components",2007,17823.0
"Electrical equipment, appliances, and components",2008,17252.0
"Electrical equipment, appliances, and components",2009,15441.0
"Electrical equipment, appliances, and components",2010,15462.0
"Electrical equipment, appliances, and components",2011,16018.0
"Electrical equipment, appliances, and components",2012,16345.0
"Electrical equipment, appliances, and components",2013,16488.0
"Electrical equipment, appliances, and components",2014,16823.0
"Electrical equipment, appliances, and components",2015,17228.0
"Electrical equipment, appliances, and components",2016,17102.0
"Electrical equipment, appliances, and components",2017,17871.0
"Electrical equipment, appliances, and components",2018,18119.0
"Electrical equipment, appliances, and components",2019,18011.0
"Electrical equipment, appliances, and components",2020,16506.0
"Electrical equipment, appliances, and components",2021,18091.0
"Electrical equipment, appliances, and components",2022,19532.0
"Electrical equipment, appliances, and components",2023,21387.0
"Motor vehicles, bodies and trailers, and parts",1997,46673.0
"Motor vehicles, bodies and trailers, and parts",1998,52872.0
"Motor vehicles, bodies and trailers, and parts",1999,55281.0
"Motor vehicles, bodies and trailers, and parts",2000,55288.0
"Motor vehicles, bodies and trailers, and parts",2001,53123.0
"Motor vehicles, bodies and trailers, and parts",2002,53340.0
"Motor vehicles, bodies and trailers, and parts",2003,55259.0
"Motor vehicles, bodies and trailers, and parts",2004,50589.0
"Motor vehicles, bodies and trailers, and parts",2005,50983.0
"Motor vehicles, bodies and trailers, and parts",2006,50739.0
"Motor vehicles, bodies and trailers, and parts",2007,48168.0
"Motor vehicles, bodies and trailers, and parts",2008,41316.0
"Motor vehicles, bodies and trailers, and parts",2009,23433.0
"Motor vehicles, bodies and trailers, and parts",2010,29887.0
"Motor vehicles, bodies and trailers, and parts",2011,32665.0
"Motor vehicles, bodies and trailers, and parts",2012,34956.0
"Motor vehicles, bodies and trailers, and parts",2013,36447.0
"Motor vehicles, bodies and trailers, and parts",2014,40149.0
"Motor vehicles, bodies and trailers, and parts",2015,43434.0
"Motor vehicles, bodies and trailers, and parts",2016,43787.0
"Motor vehicles, bodies and trailers, and parts",2017,44860.0
"Motor vehicles, bodies and trailers, and parts",2018,46698.0
"Motor vehicles, bodies and trailers, and parts",2019,45943.0
"Motor vehicles, bodies and trailers, and parts",2020,40158.0
"Motor vehicles, bodies and trailers, and parts",2021,42926.0
"Motor vehicles, bodies and trailers, and parts",2022,48601.0
"Motor vehicles, bodies and trailers, and parts",2023,52327.0
Other transportation equipment,1997,25767.0
Other transportation equipment,1998,28025.0
Other transportation equipment,1999,27610.0
Other transportation equipment,2000,25732.0
Other transportation equipment,2001,28139.0
Other transportation equipment,2002,27512.0
Other transportation equipment,2003,27877.0
Other transportation equipment,2004,25904.0
Other transportation equipment,2005,26918.0
Other transportation equipment,2006,29076.0
Other transportation equipment,2007,30060.0
Other transportation equipment,2008,30524.0
Other transportation equipment,2009,28413.0
Other transportation equipment,2010,28090.0
Other transportation equipment,2011,29376.0
Other transportation equipment,2012,29377.0
Other transportation equipment,2013,30603.0
Other transportation equipment,2014,32259.0
Other transportation equipment,2015,32549.0
Other transportation equipment,2016,31296.0
Other transportation equipment,2017,31995.0
Other transportation equipment,2018,32930.0
Other transportation equipment,2019,33517.0
Other transportation equipment,2020,30476.0
Other transportation equipment,2021,29218.0
Other transportation equipment,2022,32928.0
Other transportation equipment,2023,36242.0
Furniture and related products,1997,16907.0
Furniture and related products,1998,18470.0
Furniture and related products,1999,19293.0
Furniture and related products,2000,19916.0
Furniture and related products,2001,19973.0
Furniture and related products,2002,19486.0
Furniture and related products,2003,19753.0
Furniture and related products,2004,20253.0
Furniture and related products,2005,20546.0
Furniture and related products,2006,20443.0
Furniture and related products,2007,20052.0
Furniture and related products,2008,18392.0
Furniture and related products,2009,14794.0
Furniture and related products,2010,13563.0
Furniture and related products,2011,13788.0
Furniture and related products,2012,13975.0
Furniture and related products,2013,14367.0
Furniture and related products,2014,15142.0
Furniture and related products,2015,16181.0
Furniture and related products,2016,16495.0
Furniture and related products,2017,17304.0
Furniture and related products,2018,17970.0
Furniture and related products,2019,17068.0
Furniture and related products,2020,15609.0
Furniture and related products,2021,17185.0
Furniture and related products,2022,18909.0
Furniture and related products,2023,18935.0
Miscellaneous manufacturing,1997,21018.0
Miscellaneous manufacturing,1998,23435.0
Miscellaneous manufacturing,1999,23417.0
Miscellaneous manufacturing,2000,24039.0
Miscellaneous manufacturing,2001,24966.0
Miscellaneous manufacturing,2002,23793.0
Miscellaneous manufacturing,2003,24130.0
Miscellaneous manufacturing,2004,25189.0
Miscellaneous manufacturing,2005,24030.0
Miscellaneous manufacturing,2006,24986.0
Miscellaneous manufacturing,2007,25180.0
Miscellaneous manufacturing,2008,24656.0
Miscellaneous manufacturing,2009,22305.0
Miscellaneous manufacturing,2010,21790.0
Miscellaneous manufacturing,2011,22215.0
Miscellaneous manufacturing,2012,22685.0
Miscellaneous manufacturing,2013,21724.0
Miscellaneous manufacturing,2014,22478.0
Miscellaneous manufacturing,2015,24166.0
Miscellaneous manufacturing,2016,23363.0
Miscellaneous manufacturing,2017,23539.0
Miscellaneous manufacturing,2018,23561.0
Miscellaneous manufacturing,2019,23847.0
Miscellaneous manufacturing,2020,21647.0
Miscellaneous manufacturing,2021,23182.0
Miscellaneous manufacturing,2022,25502.0
Miscellaneous manufacturing,2023,27659.0
Food and beverage and tobacco products,1997,46364.0
Food and beverage and tobacco products,1998,50918.0
Food and beverage and tobacco products,1999,51690.0
Food and beverage and tobacco products,2000,54234.0
Food and beverage and tobacco products,2001,52500.0
Food and beverage and tobacco products,2002,52342.0
Food and beverage and tobacco products,2003,57975.0
Food and beverage and tobacco products,2004,57723.0
Food and beverage and tobacco products,2005,56939.0
Food and beverage and tobacco products,2006,57024.0
Food and beverage and tobacco products,2007,58671.0
Food and beverage and tobacco products,2008,59909.0
Food and beverage and tobacco products,2009,59026.0
Food and beverage and tobacco products,2010,60809.0
Food and beverage and tobacco products,2011,61170.0
Food and beverage and tobacco products,2012,63568.0
Food and beverage and tobacco products,2013,63821.0
Food and beverage and tobacco products,2014,68098.0
Food and beverage and tobacco products,2015,69450.0
Food and beverage and tobacco products,2016,71329.0
Food and beverage and tobacco products,2017,74791.0
Food and beverage and tobacco products,2018,75622.0
Food and beverage and tobacco products,2019,77935.0
Food and beverage and tobacco products,2020,74867.0
Food and beverage and tobacco products,2021,81710.0
Food and beverage and tobacco products,2022,91537.0
Food and beverage and tobacco products,2023,96652.0
Textile mills and textile product mills,1997,16376.0
Textile mills and textile product mills,1998,17016.0
Textile mills and textile product mills,1999,16509.0
Textile mills and textile product mills,2000,16612.0
Textile mills and textile product mills,2001,14502.0
Textile mills and textile product mills,2002,13832.0
Textile mills and textile product mills,2003,13980.0
Textile mills and textile product mills,2004,13403.0
Textile mills and textile product mills,2005,12382.0
Textile mills and textile product mills,2006,11708.0
Textile mills and textile product mills,2007,11460.0
Textile mills and textile product mills,2008,10491.0
Textile mills and textile product mills,2009,8620.0
Textile mills and textile product mills,2010,8338.0
Textile mills and textile product mills,2011,8316.0
Textile mills and textile product mills,2012,8312.0
Textile mills and textile product mills,2013,8667.0
Textile mills and textile product mills,2014,8801.0
Textile mills and textile product mills,2015,8909.0
Textile mills and textile product mills,2016,8861.0
Textile mills and textile product mills,2017,8835.0
Textile mills and textile product mills,2018,8754.0
Textile mills and textile product mills,2019,8773.0
Textile mills and textile product mills,2020,7414.0
Textile mills and textile product mills,2021,8387.0
Textile mills and textile product mills,2022,9077.0
Textile mills and textile product mills,2023,8832.0
Apparel and leather and allied products,1997,13884.0
Apparel and leather and allied products,1998,14151.0
Apparel and leather and allied products,1999,12856.0
Apparel and leather and allied products,2000,12327.0
Apparel and leather and allied products,2001,10459.0
Apparel and leather and allied products,2002,9006.0
Apparel and leather and allied products,2003,9257.0
Apparel and leather and allied products,2004,8371.0
Apparel and leather and allied products,2005,7808.0
Apparel and leather and allied products,2006,7643.0
Apparel and leather and allied products,2007,6576.0
Apparel and leather and allied products,2008,6432.0
Apparel and leather and allied products,2009,5428.0
Apparel and leather and allied products,2010,5693.0
Apparel and leather and allied products,2011,5323.0
Apparel and leather and allied products,2012,5500.0
Apparel and leather and allied products,2013,5265.0
Apparel and leather and allied products,2014,5298.0
Apparel and leather and allied products,2015,5364.0
Apparel and leather and allied products,2016,5155.0
Apparel and leather and allied products,2017,4973.0
Apparel and leather and allied products,2018,4697.0
Apparel and leather and allied products,2019,4476.0
Apparel and leather and allied products,2020,3556.0
Apparel and leather and allied products,2021,4057.0
Apparel and leather and allied products,2022,5099.0
Apparel and leather and allied products,2023,4978.0
Paper products,1997,23240.0
Paper products,1998,23835.0
Paper products,1999,24128.0
Paper products,2000,24805.0
Paper products,2001,23106.0
Paper products,2002,22326.0
Paper products,2003,23590.0
Paper products,2004,22798.0
Paper products,2005,22335.0
Paper products,2006,21989.0
Paper products,2007,21836.0
Paper products,2008,21684.0
Paper products,2009,19380.0
Paper products,2010,19646.0
Paper products,2011,19693.0
Paper products,2012,19557.0
Paper products,2013,19350.0
Paper products,2014,19923.0
Paper products,2015,19809.0
Paper products,2016,19246.0
Paper products,2017,19510.0
Paper products,2018,19609.0
Paper products,2019,20366.0
Paper products,2020,19460.0
Paper products,2021,20069.0
Paper products,2022,21367.0
Paper products,2023,22217.0
Printing and related support activities,1997,24059.0
Printing and related support activities,1998,26102.0
Printing and related support activities,1999,26721.0
Printing and related support activities,2000,28042.0
Printing and related support activities,2001,26135.0
Printing and related support activities,2002,24304.0
Printing and related support activities,2003,25647.0
Printing and related support activities,2004,25330.0
Printing and related support activities,2005,24573.0
Printing and related support activities,2006,24365.0
Printing and related support activities,2007,24565.0
Printing and related support activities,2008,23383.0
Printing and related support activities,2009,19839.0
Printing and related support activities,2010,19023.0
Printing and related support activities,2011,18605.0
Printing and related support activities,2012,17986.0
Printing and related support activities,2013,17736.0
Printing and related support activities,2014,18277.0
Printing and related support activities,2015,18058.0
Printing and related support activities,2016,18044.0
Printing and related support activities,2017,18117.0
Printing and related support activities,2018,18092.0
Printing and related support activities,2019,18434.0
Printing and related support activities,2020,15364.0
Printing and related support activities,2021,16169.0
Printing and related support activities,2022,17293.0
Printing and related support activities,2023,17855.0
Petroleum and coal products,1997,6341.0
Petroleum and coal products,1998,6607.0
Petroleum and coal products,1999,6847.0
Petroleum and coal products,2000,6986.0
Petroleum and coal products,2001,6946.0
Petroleum and coal products,2002,6257.0
Petroleum and coal products,2003,7161.0
Petroleum and coal products,2004,7064.0
Petroleum and coal products,2005,7239.0
Petroleum and coal products,2006,8343.0
Petroleum and coal products,2007,8234.0
Petroleum and coal products,2008,8356.0
Petroleum and coal products,2009,8330.0
Petroleum and coal products,2010,8231.0
Petroleum and coal products,2011,8446.0
Petroleum and coal products,2012,8761.0
Petroleum and coal products,2013,8936.0
Petroleum and coal products,2014,9388.0
Petroleum and coal products,2015,9671.0
Petroleum and coal products,2016,9336.0
Petroleum and coal products,2017,9432.0
Petroleum and coal products,2018,9680.0
Petroleum and coal products,2019,10078.0
Petroleum and coal products,2020,9129.0
Petroleum and coal products,2021,8620.0
Petroleum and coal products,2022,9268.0
Petroleum and coal products,2023,10036.0
Chemical products,1997,28557.0
Chemical products,1998,30790.0
Chemical products,1999,31576.0
Chemical products,2000,33994.0
Chemical products,2001,30194.0
Chemical products,2002,28977.0
Chemical products,2003,32590.0
Chemical products,2004,31535.0
Chemical products,2005,31937.0
Chemical products,2006,31730.0
Chemical products,2007,32592.0
Chemical products,2008,32264.0
Chemical products,2009,30936.0
Chemical products,2010,32202.0
Chemical products,2011,32156.0
Chemical products,2012,32235.0
Chemical products,2013,31485.0
Chemical products,2014,32628.0
Chemical products,2015,33570.0
Chemical products,2016,31987.0
Chemical products,2017,32398.0
Chemical products,2018,32380.0
Chemical products,2019,34057.0
Chemical products,2020,32658.0
Chemical products,2021,31848.0
Chemical products,2022,35845.0
Chemical products,2023,37922.0
Plastics and rubber products,1997,26412.0
Plastics and rubber products,1998,28578.0
Plastics and rubber products,1999,29741.0
Plastics and rubber products,2000,31328.0
Plastics and rubber products,2001,28890.0
Plastics and rubber products,2002,28345.0
Plastics and rubber products,2003,30009.0
Plastics and rubber products,2004,29785.0
Plastics and rubber products,2005,30028.0
Plastics and rubber products,2006,30336.0
Plastics and rubber products,2007,29766.0
Plastics and rubber products,2008,28872.0
Plastics and rubber products,2009,24871.0
Plastics and rubber products,2010,25738.0
Plastics and rubber products,2011,27137.0
Plastics and rubber products,2012,27341.0
Plastics and rubber products,2013,27579.0
Plastics and rubber products,2014,29023.0
Plastics and rubber products,2015,29753.0
Plastics and rubber products,2016,30067.0
Plastics and rubber products,2017,31706.0
Plastics and rubber products,2018,32583.0
Plastics and rubber products,2019,33460.0
Plastics and rubber products,2020,31408.0
Plastics and rubber products,2021,35582.0
Plastics and rubber products,2022,38588.0
Plastics and rubber products,2023,40495.0
Wholesale trade,1997,174789.0
Wholesale trade,1998,183343.0
Wholesale trade,1999,193857.0
Wholesale trade,2000,220185.0
Wholesale trade,2001,193546.0
Wholesale trade,2002,197925.0
Wholesale trade,2003,208114.0
Wholesale trade,2004,206041.0
Wholesale trade,2005,223645.0
Wholesale trade,2006,235214.0
Wholesale trade,2007,244788.0
Wholesale trade,2008,245427.0
Wholesale trade,2009,224773.0
Wholesale trade,2010,227626.0
Wholesale trade,2011,240742.0
Wholesale trade,2012,246804.0
Wholesale trade,2013,244861.0
Wholesale trade,2014,257562.0
Wholesale trade,2015,267141.0
Wholesale trade,2016,265126.0
Wholesale trade,2017,274576.0
Wholesale trade,2018,276399.0
Wholesale trade,2019,279717.0
Wholesale trade,2020,269649.0
Wholesale trade,2021,296396.0
Wholesale trade,2022,325555.0
Wholesale trade,2023,355841.0
Retail trade,1997,283891.0
Retail trade,1998,293047.0
Retail trade,1999,304967.0
Retail trade,2000,320643.0
Retail trade,2001,331753.0
Retail trade,2002,328364.0
Retail trade,2003,348676.0
Retail trade,2004,345665.0
Retail trade,2005,369541.0
Retail trade,2006,377125.0
Retail trade,2007,381986.0
Retail trade,2008,373422.0
Retail trade,2009,347455.0
Retail trade,2010,345628.0
Retail trade,2011,350148.0
Retail trade,2012,353763.0
Retail trade,2013,362128.0
Retail trade,2014,379872.0
Retail trade,2015,397826.0
Retail trade,2016,402579.0
Retail trade,2017,413476.0
Retail trade,2018,422486.0
Retail trade,2019,438906.0
Retail trade,2020,417967.0
Retail trade,2021,462268.0
Retail trade,2022,496734.0
Retail trade,2023,538815.0
Air transportation,1997,16822.0
Air transportation,1998,16891.0
Air transportation,1999,18623.0
Air transportation,2000,19039.0
Air transportation,2001,20166.0
Air transportation,2002,17866.0
Air transportation,2003,19856.0
Air transportation,2004,18227.0
Air transportation,2005,18228.0
Air transportation,2006,18394.0
Air transportation,2007,19515.0
Air transportation,2008,18460.0
Air transportation,2009,16897.0
Air transportation,2010,17577.0
Air transportation,2011,18855.0
Air transportation,2012,18588.0
Air transportation,2013,19237.0
Air transportation,2014,19528.0
Air transportation,2015,21003.0
Air transportation,2016,21930.0
Air transportation,2017,22969.0
Air transportation,2018,23274.0
Air transportation,2019,24315.0
Air transportation,2020,17041.0
Air transportation,2021,16352.0
Air transportation,2022,24156.0
Air transportation,2023,29830.0
Rail transportation,1997,13029.0
Rail transportation,1998,13432.0
Rail transportation,1999,13960.0
Rail transportation,2000,13270.0
Rail transportation,2001,13063.0
Rail transportation,2002,12382.0
Rail transportation,2003,13450.0
Rail transportation,2004,13688.0
Rail transportation,2005,14703.0
Rail transportation,2006,15275.0
Rail transportation,2007,15634.0
Rail transportation,2008,16566.0
Rail transportation,2009,14984.0
Rail transportation,2010,14597.0
Rail transportation,2011,16333.0
Rail transportation,2012,17403.0
Rail transportation,2013,16761.0
Rail transportation,2014,18016.0
Rail transportation,2015,18838.0
Rail transportation,2016,16743.0
Rail transportation,2017,16742.0
Rail transportation,2018,17608.0
Rail transportation,2019,17382.0
Rail transportation,2020,14926.0
Rail transportation,2021,14684.0
Rail transportation,2022,15963.0
Rail transportation,2023,17164.0
Water transportation,1997,2006.0
Water transportation,1998,1772.0
Water transportation,1999,1882.0
Water transportation,2000,1788.0
Water transportation,2001,1994.0
