Industry Description,Year,Value
"Motor vehicles, bodies and trailers, and parts",2019,34365.0
"Motor vehicles, bodies and trailers, and parts",2020,31630.0
"Motor vehicles, bodies and trailers, and parts",2021,34798.0
"Motor vehicles, bodies and trailers, and parts",2022,39735.0
"Motor vehicles, bodies and trailers, and parts",2023,41410.0
Other transportation equipment,1997,21039.0
Other transportation equipment,1998,22254.0
Other transportation equipment,1999,23730.0
Other transportation equipment,2000,25100.0
Other transportation equipment,2001,23824.0
Other transportation equipment,2002,23598.0
Other transportation equipment,2003,23513.0
Other transportation equipment,2004,30496.0
Other transportation equipment,2005,30688.0
Other transportation equipment,2006,33252.0
Other transportation equipment,2007,36177.0
Other transportation equipment,2008,38187.0
Other transportation equipment,2009,38813.0
Other transportation equipment,2010,38769.0
Other transportation equipment,2011,40139.0
Other transportation equipment,2012,42695.0
Other transportation equipment,2013,43627.0
Other transportation equipment,2014,44232.0
Other transportation equipment,2015,45565.0
Other transportation equipment,2016,46274.0
Other transportation equipment,2017,47833.0
Other transportation equipment,2018,51170.0
Other transportation equipment,2019,54395.0
Other transportation equipment,2020,52951.0
Other transportation equipment,2021,52510.0
Other transportation equipment,2022,58287.0
Other transportation equipment,2023,64028.0
Furniture and related products,1997,4542.0
Furniture and related products,1998,4526.0
Furniture and related products,1999,5114.0
Furniture and related products,2000,5558.0
Furniture and related products,2001,4796.0
Furniture and related products,2002,4811.0
Furniture and related products,2003,4824.0
Furniture and related products,2004,4919.0
Furniture and related products,2005,5467.0
Furniture and related products,2006,5498.0
Furniture and related products,2007,5815.0
Furniture and related products,2008,5728.0
Furniture and related products,2009,4781.0
Furniture and related products,2010,4280.0
Furniture and related products,2011,4275.0
Furniture and related products,2012,4553.0
Furniture and related products,2013,5034.0
Furniture and related products,2014,5240.0
Furniture and related products,2015,5745.0
Furniture and related products,2016,5684.0
Furniture and related products,2017,6272.0
Furniture and related products,2018,6610.0
Furniture and related products,2019,6661.0
Furniture and related products,2020,6759.0
Furniture and related products,2021,7208.0
Furniture and related products,2022,7956.0
Furniture and related products,2023,7989.0
Miscellaneous manufacturing,1997,14490.0
Miscellaneous manufacturing,1998,14568.0
Miscellaneous manufacturing,1999,15727.0
Miscellaneous manufacturing,2000,17184.0
Miscellaneous manufacturing,2001,16108.0
Miscellaneous manufacturing,2002,16773.0
Miscellaneous manufacturing,2003,17967.0
Miscellaneous manufacturing,2004,19876.0
Miscellaneous manufacturing,2005,22062.0
Miscellaneous manufacturing,2006,22961.0
Miscellaneous manufacturing,2007,24266.0
Miscellaneous manufacturing,2008,25559.0
Miscellaneous manufacturing,2009,25162.0
Miscellaneous manufacturing,2010,25574.0
Miscellaneous manufacturing,2011,26023.0
Miscellaneous manufacturing,2012,27357.0
Miscellaneous manufacturing,2013,28641.0
Miscellaneous manufacturing,2014,29842.0
Miscellaneous manufacturing,2015,31941.0
Miscellaneous manufacturing,2016,32653.0
Miscellaneous manufacturing,2017,34268.0
Miscellaneous manufacturing,2018,36887.0
Miscellaneous manufacturing,2019,38174.0
Miscellaneous manufacturing,2020,35766.0
Miscellaneous manufacturing,2021,39509.0
Miscellaneous manufacturing,2022,43561.0
Miscellaneous manufacturing,2023,44388.0
Food and beverage and tobacco products,1997,18010.0
Food and beverage and tobacco products,1998,18015.0
Food and beverage and tobacco products,1999,19460.0
Food and beverage and tobacco products,2000,19113.0
Food and beverage and tobacco products,2001,22739.0
Food and beverage and tobacco products,2002,23855.0
Food and beverage and tobacco products,2003,21240.0
Food and beverage and tobacco products,2004,23347.0
Food and beverage and tobacco products,2005,24590.0
Food and beverage and tobacco products,2006,25433.0
Food and beverage and tobacco products,2007,27072.0
Food and beverage and tobacco products,2008,27980.0
Food and beverage and tobacco products,2009,28808.0
Food and beverage and tobacco products,2010,29116.0
Food and beverage and tobacco products,2011,29002.0
Food and beverage and tobacco products,2012,30795.0
Food and beverage and tobacco products,2013,33019.0
Food and beverage and tobacco products,2014,33673.0
Food and beverage and tobacco products,2015,36393.0
Food and beverage and tobacco products,2016,38572.0
Food and beverage and tobacco products,2017,41130.0
Food and beverage and tobacco products,2018,44564.0
Food and beverage and tobacco products,2019,45991.0
Food and beverage and tobacco products,2020,53597.0
Food and beverage and tobacco products,2021,52539.0
Food and beverage and tobacco products,2022,61115.0
Food and beverage and tobacco products,2023,59325.0
Textile mills and textile product mills,1997,4542.0
Textile mills and textile product mills,1998,4384.0
Textile mills and textile product mills,1999,4721.0
Textile mills and textile product mills,2000,4381.0
Textile mills and textile product mills,2001,4608.0
Textile mills and textile product mills,2002,4738.0
Textile mills and textile product mills,2003,3654.0
Textile mills and textile product mills,2004,3799.0
Textile mills and textile product mills,2005,3837.0
Textile mills and textile product mills,2006,3991.0
Textile mills and textile product mills,2007,4209.0
Textile mills and textile product mills,2008,4241.0
Textile mills and textile product mills,2009,3594.0
Textile mills and textile product mills,2010,3409.0
Textile mills and textile product mills,2011,3285.0
Textile mills and textile product mills,2012,3519.0
Textile mills and textile product mills,2013,3706.0
Textile mills and textile product mills,2014,3894.0
Textile mills and textile product mills,2015,4058.0
Textile mills and textile product mills,2016,4209.0
Textile mills and textile product mills,2017,4360.0
Textile mills and textile product mills,2018,4316.0
Textile mills and textile product mills,2019,4248.0
Textile mills and textile product mills,2020,4350.0
Textile mills and textile product mills,2021,4219.0
Textile mills and textile product mills,2022,4799.0
Textile mills and textile product mills,2023,4323.0
Apparel and leather and allied products,1997,5185.0
Apparel and leather and allied products,1998,5023.0
Apparel and leather and allied products,1999,5301.0
Apparel and leather and allied products,2000,4769.0
Apparel and leather and allied products,2001,5189.0
Apparel and leather and allied products,2002,5092.0
Apparel and leather and allied products,2003,4227.0
Apparel and leather and allied products,2004,4334.0
Apparel and leather and allied products,2005,4643.0
Apparel and leather and allied products,2006,4582.0
Apparel and leather and allied products,2007,4363.0
Apparel and leather and allied products,2008,4328.0
Apparel and leather and allied products,2009,3699.0
Apparel and leather and allied products,2010,3992.0
Apparel and leather and allied products,2011,3621.0
Apparel and leather and allied products,2012,4043.0
Apparel and leather and allied products,2013,3960.0
Apparel and leather and allied products,2014,3942.0
Apparel and leather and allied products,2015,4107.0
Apparel and leather and allied products,2016,3961.0
Apparel and leather and allied products,2017,3975.0
Apparel and leather and allied products,2018,3835.0
Apparel and leather and allied products,2019,3819.0
Apparel and leather and allied products,2020,3755.0
Apparel and leather and allied products,2021,3609.0
Apparel and leather and allied products,2022,4516.0
Apparel and leather and allied products,2023,4240.0
Paper products,1997,8416.0
Paper products,1998,8059.0
Paper products,1999,8578.0
Paper products,2000,8435.0
Paper products,2001,9505.0
Paper products,2002,9654.0
Paper products,2003,8234.0
Paper products,2004,8518.0
Paper products,2005,8979.0
Paper products,2006,9092.0
Paper products,2007,9540.0
Paper products,2008,9532.0
Paper products,2009,9092.0
Paper products,2010,9260.0
Paper products,2011,9501.0
Paper products,2012,9566.0
Paper products,2013,10003.0
Paper products,2014,9862.0
Paper products,2015,10363.0
Paper products,2016,10712.0
Paper products,2017,10876.0
Paper products,2018,11707.0
Paper products,2019,12086.0
Paper products,2020,12304.0
Paper products,2021,12129.0
Paper products,2022,13242.0
Paper products,2023,13343.0
Printing and related support activities,1997,10959.0
Printing and related support activities,1998,10221.0
Printing and related support activities,1999,10195.0
Printing and related support activities,2000,9457.0
Printing and related support activities,2001,10703.0
Printing and related support activities,2002,10631.0
Printing and related support activities,2003,8831.0
Printing and related support activities,2004,9365.0
Printing and related support activities,2005,10078.0
Printing and related support activities,2006,10120.0
Printing and related support activities,2007,10603.0
Printing and related support activities,2008,10406.0
Printing and related support activities,2009,9030.0
Printing and related support activities,2010,9167.0
Printing and related support activities,2011,8656.0
Printing and related support activities,2012,8594.0
Printing and related support activities,2013,9029.0
Printing and related support activities,2014,9080.0
Printing and related support activities,2015,9104.0
Printing and related support activities,2016,9171.0
Printing and related support activities,2017,9185.0
Printing and related support activities,2018,9319.0
Printing and related support activities,2019,9302.0
Printing and related support activities,2020,8720.0
Printing and related support activities,2021,9050.0
Printing and related support activities,2022,10008.0
Printing and related support activities,2023,10099.0
Petroleum and coal products,1997,4245.0
Petroleum and coal products,1998,4049.0
Petroleum and coal products,1999,4218.0
Petroleum and coal products,2000,4098.0
Petroleum and coal products,2001,5137.0
Petroleum and coal products,2002,4978.0
Petroleum and coal products,2003,5006.0
Petroleum and coal products,2004,5463.0
Petroleum and coal products,2005,6227.0
Petroleum and coal products,2006,7267.0
Petroleum and coal products,2007,7536.0
Petroleum and coal products,2008,7993.0
Petroleum and coal products,2009,8134.0
Petroleum and coal products,2010,8213.0
Petroleum and coal products,2011,8467.0
Petroleum and coal products,2012,9198.0
Petroleum and coal products,2013,9659.0
Petroleum and coal products,2014,9673.0
Petroleum and coal products,2015,10144.0
Petroleum and coal products,2016,10085.0
Petroleum and coal products,2017,9997.0
Petroleum and coal products,2018,10223.0
Petroleum and coal products,2019,10878.0
Petroleum and coal products,2020,10764.0
Petroleum and coal products,2021,10251.0
Petroleum and coal products,2022,11003.0
Petroleum and coal products,2023,11429.0
Chemical products,1997,36230.0
Chemical products,1998,36524.0
Chemical products,1999,38769.0
Chemical products,2000,40711.0
Chemical products,2001,44890.0
Chemical products,2002,45270.0
Chemical products,2003,43941.0
Chemical products,2004,46888.0
Chemical products,2005,49618.0
Chemical products,2006,51016.0
Chemical products,2007,53848.0
Chemical products,2008,54927.0
Chemical products,2009,53697.0
Chemical products,2010,54576.0
Chemical products,2011,55162.0
Chemical products,2012,58467.0
Chemical products,2013,61206.0
Chemical products,2014,65580.0
Chemical products,2015,68095.0
Chemical products,2016,68001.0
Chemical products,2017,70694.0
Chemical products,2018,73065.0
Chemical products,2019,77237.0
Chemical products,2020,81795.0
Chemical products,2021,84562.0
Chemical products,2022,92085.0
Chemical products,2023,94655.0
Plastics and rubber products,1997,8239.0
Plastics and rubber products,1998,8196.0
Plastics and rubber products,1999,9036.0
Plastics and rubber products,2000,8977.0
Plastics and rubber products,2001,10002.0
Plastics and rubber products,2002,10392.0
Plastics and rubber products,2003,8871.0
Plastics and rubber products,2004,9489.0
Plastics and rubber products,2005,10328.0
Plastics and rubber products,2006,10649.0
Plastics and rubber products,2007,10844.0
Plastics and rubber products,2008,11108.0
Plastics and rubber products,2009,9620.0
Plastics and rubber products,2010,10360.0
Plastics and rubber products,2011,10592.0
Plastics and rubber products,2012,11698.0
Plastics and rubber products,2013,12451.0
Plastics and rubber products,2014,13078.0
Plastics and rubber products,2015,13807.0
Plastics and rubber products,2016,14830.0
Plastics and rubber products,2017,15449.0
Plastics and rubber products,2018,16726.0
Plastics and rubber products,2019,17166.0
Plastics and rubber products,2020,18387.0
Plastics and rubber products,2021,18190.0
Plastics and rubber products,2022,20082.0
Plastics and rubber products,2023,20097.0
Wholesale trade,1997,108564.0
Wholesale trade,1998,124249.0
Wholesale trade,1999,126539.0
Wholesale trade,2000,125587.0
Wholesale trade,2001,153759.0
Wholesale trade,2002,148116.0
Wholesale trade,2003,146577.0
Wholesale trade,2004,165912.0
Wholesale trade,2005,172913.0
Wholesale trade,2006,186806.0
Wholesale trade,2007,201161.0
Wholesale trade,2008,206931.0
Wholesale trade,2009,194489.0
Wholesale trade,2010,199354.0
Wholesale trade,2011,210536.0
Wholesale trade,2012,222979.0
Wholesale trade,2013,236122.0
Wholesale trade,2014,245843.0
Wholesale trade,2015,255685.0
Wholesale trade,2016,262599.0
Wholesale trade,2017,270004.0
Wholesale trade,2018,281519.0
Wholesale trade,2019,291496.0
Wholesale trade,2020,297684.0
Wholesale trade,2021,319474.0
Wholesale trade,2022,351734.0
Wholesale trade,2023,363120.0
Retail trade,1997,98078.0
Retail trade,1998,112715.0
Retail trade,1999,117349.0
Retail trade,2000,126709.0
Retail trade,2001,126388.0
Retail trade,2002,140303.0
Retail trade,2003,140869.0
Retail trade,2004,157685.0
Retail trade,2005,157535.0
Retail trade,2006,159831.0
Retail trade,2007,169712.0
Retail trade,2008,170154.0
Retail trade,2009,165931.0
Retail trade,2010,171301.0
Retail trade,2011,183483.0
Retail trade,2012,192537.0
Retail trade,2013,198726.0
Retail trade,2014,203449.0
Retail trade,2015,215656.0
Retail trade,2016,224602.0
Retail trade,2017,231891.0
Retail trade,2018,246851.0
Retail trade,2019,255778.0
Retail trade,2020,268722.0
Retail trade,2021,290218.0
Retail trade,2022,319300.0
Retail trade,2023,316586.0
Air transportation,1997,12945.0
Air transportation,1998,16446.0
Air transportation,1999,18353.0
Air transportation,2000,20572.0
Air transportation,2001,21625.0
Air transportation,2002,22913.0
Air transportation,2003,19014.0
Air transportation,2004,20172.0
Air transportation,2005,18306.0
Air transportation,2006,18463.0
Air transportation,2007,20393.0
Air transportation,2008,19912.0
Air transportation,2009,18353.0
Air transportation,2010,19239.0
Air transportation,2011,20382.0
Air transportation,2012,21982.0
Air transportation,2013,23841.0
Air transportation,2014,24884.0
Air transportation,2015,27442.0
Air transportation,2016,31470.0
Air transportation,2017,34126.0
Air transportation,2018,36960.0
Air transportation,2019,38602.0
Air transportation,2020,28395.0
Air transportation,2021,27787.0
Air transportation,2022,41832.0
Air transportation,2023,49153.0
Rail transportation,1997,2246.0
Rail transportation,1998,2982.0
Rail transportation,1999,3069.0
Rail transportation,2000,3386.0
Rail transportation,2001,3343.0
Rail transportation,2002,3677.0
Rail transportation,2003,2912.0
Rail transportation,2004,3294.0
Rail transportation,2005,3201.0
Rail transportation,2006,3432.0
Rail transportation,2007,3653.0
Rail transportation,2008,3854.0
Rail transportation,2009,3847.0
Rail transportation,2010,3863.0
Rail transportation,2011,4259.0
Rail transportation,2012,4905.0
Rail transportation,2013,4857.0
Rail transportation,2014,5146.0
Rail transportation,2015,5388.0
Rail transportation,2016,5200.0
Rail transportation,2017,5151.0
Rail transportation,2018,5592.0
Rail transportation,2019,5627.0
Rail transportation,2020,5275.0
Rail transportation,2021,5253.0
Rail transportation,2022,5784.0
Rail transportation,2023,6171.0
Water transportation,1997,1125.0
Water transportation,1998,1269.0
Water transportation,1999,1350.0
Water transportation,2000,1477.0
Water transportation,2001,1590.0
