Industry Description,Year,Value,Workbook,Sheet
Administrative and support services,2006,225.027,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2007,233.49,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2008,241.54399999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2009,247.273,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2010,255.01999999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2011,262.279,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2012,269.543,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2013,276.873,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2014,284.814,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2015,290.773,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2016,296.967,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2017,300.0,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2018,300.951,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2019,305.326,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2020,314.337,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2021,319.079,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2022,324.874,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2023,331.714,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,1997,271.837,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,1998,309.421,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,1999,340.678,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2000,370.159,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2001,401.243,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2002,410.582,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2003,401.43,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2004,391.489,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2005,381.203,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2006,371.974,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2007,366.207,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2008,365.892,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2009,361.61,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2010,352.952,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2011,342.672,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2012,332.29200000000003,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2013,322.651,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2014,315.163,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2015,309.015,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2016,304.08,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2017,300.0,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2018,297.05600000000004,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2019,292.1,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2020,283.311,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2021,273.265,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2022,268.004,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Air transportation,2023,267.33299999999997,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,1997,167.22899999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,1998,171.79899999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,1999,177.288,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2000,182.27100000000002,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2001,186.84199999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2002,192.75400000000002,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2003,201.072,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2004,210.684,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2005,221.461,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2006,231.836,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2007,244.18099999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2008,257.474,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2009,266.132,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2010,275.257,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2011,284.486,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2012,291.685,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2013,297.783,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2014,299.71799999999996,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2015,299.94,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2016,299.577,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2017,300.0,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2018,302.08299999999997,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2019,304.48199999999997,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2020,307.128,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2021,315.115,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2022,323.567,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Ambulatory health care services,2023,327.918,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",1997,164.914,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",1998,169.85500000000002,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",1999,176.172,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2000,177.094,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2001,186.476,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2002,193.68200000000002,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2003,198.096,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2004,202.494,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2005,207.41500000000002,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2006,211.937,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2007,218.32999999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2008,224.915,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2009,232.776,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2010,238.607,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2011,241.675,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2012,246.127,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2013,250.031,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2014,256.702,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2015,266.969,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2016,281.304,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2017,300.0,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2018,323.224,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2019,345.975,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2020,357.866,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2021,367.512,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2022,382.787,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
"Amusements, gambling, and recreation industries",2023,400.038,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,1997,270.524,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,1998,275.584,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,1999,281.765,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2000,287.168,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2001,288.21299999999997,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2002,286.99,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2003,286.623,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2004,283.843,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2005,282.71000000000004,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2006,281.981,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2007,282.731,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2008,283.861,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2009,282.38800000000003,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2010,279.859,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2011,278.906,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2012,280.26099999999997,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2013,288.959,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2014,295.408,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2015,296.242,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2016,298.76599999999996,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2017,300.0,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2018,304.666,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2019,314.647,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2020,321.676,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2021,323.988,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2022,321.998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Apparel and leather and allied products,2023,314.555,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,1997,130.105,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,1998,136.002,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,1999,143.256,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2000,152.38400000000001,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2001,160.34199999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2002,163.512,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2003,163.745,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2004,165.939,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2005,170.579,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2006,176.13299999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2007,183.712,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2008,192.12900000000002,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2009,199.778,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2010,207.048,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2011,216.503,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2012,227.276,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2013,238.404,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2014,249.977,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2015,264.108,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2016,280.725,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2017,300.0,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2018,319.882,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2019,337.781,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2020,352.01,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2021,363.175,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2022,374.82800000000003,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Broadcasting and telecommunications,2023,384.539,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,1997,188.454,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,1998,193.98,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,1999,199.74099999999999,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2000,204.964,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2001,208.959,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2002,213.10399999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2003,216.65,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2004,220.0,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2005,223.118,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2006,226.055,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2007,231.327,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2008,238.207,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2009,243.583,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2010,244.403,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2011,248.478,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2012,253.82,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2013,260.209,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2014,266.368,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2015,277.038,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2016,290.385,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2017,300.0,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2018,304.795,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2019,307.599,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2020,310.293,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2021,313.325,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2022,315.073,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Chemical products,2023,316.453,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,1997,195.758,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,1998,206.11,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,1999,214.389,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2000,223.747,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2001,234.217,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2002,238.899,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2003,240.027,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2004,241.303,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2005,244.577,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2006,249.418,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2007,255.667,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2008,267.60900000000004,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2009,275.571,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2010,276.59299999999996,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2011,284.257,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2012,291.706,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2013,296.16700000000003,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2014,298.652,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2015,301.189,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2016,302.426,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2017,300.0,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2018,299.655,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2019,303.125,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2020,306.866,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2021,307.538,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2022,310.496,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Computer and electronic products,2023,317.061,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
