Industry Description,Year,Value,total_labor_comp,surplus,surplus_rate
"Mining, except oil and gas",2011,72910.0,18201.0,54709.0,0.7503634618022219
"Mining, except oil and gas",2012,63331.0,18912.0,44419.0,0.7013784718384362
"Mining, except oil and gas",2013,57549.0,18562.0,38987.0,0.677457471024692
"Mining, except oil and gas",2014,53349.0,18454.0,34895.0,0.6540891113235487
"Mining, except oil and gas",2015,45420.0,18055.0,27365.0,0.6024878907970057
"Mining, except oil and gas",2016,42574.0,16383.0,26191.0,0.6151876732277917
"Mining, except oil and gas",2017,49887.0,17622.0,32265.0,0.6467616813999639
"Mining, except oil and gas",2018,49352.0,19021.0,30331.0,0.6145850218836116
"Mining, except oil and gas",2019,50265.0,18996.0,31269.0,0.6220829603103551
"Mining, except oil and gas",2020,55075.0,17218.0,37857.0,0.6873717657739447
"Mining, except oil and gas",2021,64038.0,18358.0,45680.0,0.7133264624129423
"Mining, except oil and gas",2022,72695.0,20364.0,52331.0,0.71987069261985
"Mining, except oil and gas",2023,78678.0,22347.0,56331.0,0.715968885838481
Support activities for mining,1997,13456.0,9445.0,4011.0,0.29808263971462545
Support activities for mining,1998,13577.0,9995.0,3582.0,0.263828533549385
Support activities for mining,1999,11100.0,9435.0,1665.0,0.15
Support activities for mining,2000,13777.0,9989.0,3788.0,0.2749510052986862
Support activities for mining,2001,19678.0,12346.0,7332.0,0.37259884134566523
Support activities for mining,2002,15156.0,10730.0,4426.0,0.29202955925046187
Support activities for mining,2003,16796.0,11340.0,5456.0,0.32483924743986664
Support activities for mining,2004,19840.0,13032.0,6808.0,0.3431451612903226
Support activities for mining,2005,26694.0,16124.0,10570.0,0.3959691316400689
Support activities for mining,2006,42490.0,21028.0,21462.0,0.5051070840197693
Support activities for mining,2007,49990.0,25240.0,24750.0,0.4950990198039608
Support activities for mining,2008,59235.0,29043.0,30192.0,0.5096986578880729
Support activities for mining,2009,41211.0,23866.0,17345.0,0.42088277401664603
Support activities for mining,2010,47422.0,26202.0,21220.0,0.44747163763654
Support activities for mining,2011,61798.0,33038.0,28760.0,0.46538722936017346
Support activities for mining,2012,68321.0,38011.0,30310.0,0.44364104740855664
Support activities for mining,2013,74676.0,39845.0,34831.0,0.4664283036049065
Support activities for mining,2014,91878.0,44812.0,47066.0,0.5122662661355275
Support activities for mining,2015,62499.0,36301.0,26198.0,0.4191747067953087
Support activities for mining,2016,36027.0,25466.0,10561.0,0.2931412551697338
Support activities for mining,2017,53711.0,30831.0,22880.0,0.42598350431010407
Support activities for mining,2018,71518.0,36567.0,34951.0,0.488702144914567
Support activities for mining,2019,67866.0,37321.0,30545.0,0.45007809506969615
Support activities for mining,2020,41192.0,24065.0,17127.0,0.4157846183724995
Support activities for mining,2021,42624.0,24219.0,18405.0,0.4317989864864865
Support activities for mining,2022,62816.0,32031.0,30785.0,0.49008214467651556
Support activities for mining,2023,71312.0,36692.0,34620.0,0.4854722907785506
Utilities,1997,154499.0,42111.0,112388.0,0.7274351290299613
Utilities,1998,146480.0,43093.0,103387.0,0.7058096668487166
Utilities,1999,162065.0,47187.0,114878.0,0.7088390460617653
Utilities,2000,161581.0,50214.0,111367.0,0.689233263811958
Utilities,2001,168058.0,53904.0,114154.0,0.6792535910221471
Utilities,2002,157044.0,54652.0,102392.0,0.6519956190621736
Utilities,2003,162117.0,52935.0,109182.0,0.6734765632228575
Utilities,2004,176639.0,55634.0,121005.0,0.6850412423077576
Utilities,2005,173551.0,56130.0,117421.0,0.6765792187887134
Utilities,2006,199532.0,60885.0,138647.0,0.6948609746807529
Utilities,2007,203472.0,63083.0,140389.0,0.689967169930015
Utilities,2008,212402.0,66284.0,146118.0,0.6879313754107776
Utilities,2009,228636.0,66832.0,161804.0,0.7076925768470407
Utilities,2010,249178.0,67652.0,181526.0,0.7284993057171981
Utilities,2011,257686.0,71184.0,186502.0,0.7237568203161988
Utilities,2012,249756.0,69760.0,179996.0,0.7206873908935121
Utilities,2013,256743.0,72778.0,183965.0,0.7165336542768449
Utilities,2014,268383.0,75188.0,193195.0,0.719848127489446
Utilities,2015,270950.0,77628.0,193322.0,0.7134969551577782
Utilities,2016,273997.0,81409.0,192588.0,0.7028836082146884
Utilities,2017,284379.0,81578.0,202801.0,0.7131363426975972
Utilities,2018,289983.0,84491.0,205492.0,0.7086346440998266
Utilities,2019,300760.0,87943.0,212817.0,0.7075974198696635
Utilities,2020,314892.0,93031.0,221861.0,0.7045621991031846
Utilities,2021,358723.0,94187.0,264536.0,0.7374380789634342
Utilities,2022,408617.0,96561.0,312056.0,0.7636882459613771
Utilities,2023,411045.0,97381.0,313664.0,0.7630891994793757
Construction,1997,338921.0,298583.0,40338.0,0.11901888640715683
Construction,1998,379099.0,326770.0,52329.0,0.13803518342174473
Construction,1999,416985.0,356377.0,60608.0,0.1453481540103361
Construction,2000,460423.0,392247.0,68176.0,0.1480725333008994
Construction,2001,485527.0,407972.0,77555.0,0.15973365023984248
Construction,2002,492663.0,406716.0,85947.0,0.17445393707260337
Construction,2003,524309.0,420560.0,103749.0,0.1978775874532003
Construction,2004,583591.0,454056.0,129535.0,0.22196195623304676
Construction,2005,650387.0,486505.0,163882.0,0.2519761311342324
Construction,2006,695665.0,524473.0,171192.0,0.24608396282693537
Construction,2007,714284.0,548214.0,166070.0,0.23249855799653918
Construction,2008,647858.0,536803.0,111055.0,0.1714187368219579
Construction,2009,564266.0,458441.0,105825.0,0.18754452687207807
Construction,2010,524645.0,432005.0,92640.0,0.17657654223331967
Construction,2011,524414.0,435497.0,88917.0,0.16955496992833907
Construction,2012,553670.0,452860.0,100810.0,0.1820759658280203
Construction,2013,593353.0,478700.0,114653.0,0.19322898847734823
Construction,2014,648447.0,521817.0,126630.0,0.19528195827877992
Construction,2015,713701.0,563166.0,150535.0,0.21092166047126176
Construction,2016,775065.0,592863.0,182202.0,0.23507963848193378
Construction,2017,838364.0,627322.0,211042.0,0.25173075179754856
Construction,2018,887065.0,674425.0,212640.0,0.23971185877021414
Construction,2019,950776.0,724725.0,226051.0,0.23775421340042238
Construction,2020,955615.0,681238.0,274377.0,0.2871208593418898
Construction,2021,1009220.0,746904.0,262316.0,0.2599195418243792
Construction,2022,1111500.0,833451.0,278049.0,0.2501565452091768
Construction,2023,1217670.0,873152.0,344518.0,0.28293215731684285
Wood products,1997,26709.0,20265.0,6444.0,0.24126698865550938
Wood products,1998,27425.0,21690.0,5735.0,0.20911577028258888
Wood products,1999,29282.0,22898.0,6384.0,0.21801789495253057
Wood products,2000,28209.0,23387.0,4822.0,0.17093835300790527
Wood products,2001,27138.0,23116.0,4022.0,0.14820546834696735
Wood products,2002,27170.0,22560.0,4610.0,0.16967243283032757
Wood products,2003,28619.0,22589.0,6030.0,0.2106991858555505
Wood products,2004,32470.0,24165.0,8305.0,0.25577456113335384
Wood products,2005,34585.0,26290.0,8295.0,0.23984386294636403
Wood products,2006,31543.0,25674.0,5869.0,0.18606346891544875
Wood products,2007,28966.0,25073.0,3893.0,0.13439895049368225
Wood products,2008,25522.0,22793.0,2729.0,0.1069273567902202
Wood products,2009,21126.0,17593.0,3533.0,0.16723468711540282
Wood products,2010,23243.0,17078.0,6165.0,0.2652411478724777
Wood products,2011,23600.0,17552.0,6048.0,0.256271186440678
Wood products,2012,25734.0,17871.0,7863.0,0.30554907903940315
Wood products,2013,30115.0,18656.0,11459.0,0.38050805246554875
Wood products,2014,30230.0,20131.0,10099.0,0.3340721137942441
Wood products,2015,31363.0,21436.0,9927.0,0.3165194656123458
Wood products,2016,33566.0,22031.0,11535.0,0.3436513138294703
Wood products,2017,35568.0,23309.0,12259.0,0.3446637426900585
Wood products,2018,36791.0,24960.0,11831.0,0.3215732108396075
Wood products,2019,36687.0,26734.0,9953.0,0.2712950091312999
Wood products,2020,42768.0,25985.0,16783.0,0.3924195660306771
Wood products,2021,59063.0,29093.0,29970.0,0.5074242757733268
Wood products,2022,63867.0,32871.0,30996.0,0.48532105782328905
Wood products,2023,61890.0,34092.0,27798.0,0.4491517207949588
Nonmetallic mineral products,1997,39697.0,23132.0,16565.0,0.41728594100309846
Nonmetallic mineral products,1998,40768.0,24186.0,16582.0,0.4067405808477237
Nonmetallic mineral products,1999,43160.0,25367.0,17793.0,0.41225671918443
Nonmetallic mineral products,2000,42528.0,26847.0,15681.0,0.36872178329571104
Nonmetallic mineral products,2001,41202.0,27078.0,14124.0,0.34279889325760887
Nonmetallic mineral products,2002,41720.0,26801.0,14919.0,0.35759827420901247
Nonmetallic mineral products,2003,41923.0,26713.0,15210.0,0.36280800515230305
Nonmetallic mineral products,2004,45182.0,27375.0,17807.0,0.39411712628923024
Nonmetallic mineral products,2005,48713.0,29029.0,19684.0,0.40408104612731716
Nonmetallic mineral products,2006,50379.0,30254.0,20125.0,0.39947200222314855
Nonmetallic mineral products,2007,50157.0,30731.0,19426.0,0.38730386586119586
Nonmetallic mineral products,2008,44660.0,28659.0,16001.0,0.35828481862964623
Nonmetallic mineral products,2009,38751.0,23488.0,15263.0,0.3938737064849939
Nonmetallic mineral products,2010,38309.0,23324.0,14985.0,0.3911613458978308
Nonmetallic mineral products,2011,38839.0,23611.0,15228.0,0.3920801256469013
Nonmetallic mineral products,2012,42614.0,24834.0,17780.0,0.4172337729384709
Nonmetallic mineral products,2013,46708.0,25110.0,21598.0,0.46240472724158604
Nonmetallic mineral products,2014,48524.0,26424.0,22100.0,0.4554447283818317
Nonmetallic mineral products,2015,52880.0,27986.0,24894.0,0.4707639939485628
Nonmetallic mineral products,2016,54923.0,29102.0,25821.0,0.4701309105474938
Nonmetallic mineral products,2017,58351.0,30570.0,27781.0,0.4761015235385855
Nonmetallic mineral products,2018,59254.0,31404.0,27850.0,0.4700104634286293
Nonmetallic mineral products,2019,62882.0,32853.0,30029.0,0.47754524347189975
Nonmetallic mineral products,2020,63647.0,31896.0,31751.0,0.49886090467736105
Nonmetallic mineral products,2021,67664.0,33453.0,34211.0,0.5056012059588555
Nonmetallic mineral products,2022,71774.0,36430.0,35344.0,0.49243458634045756
Nonmetallic mineral products,2023,76534.0,38748.0,37786.0,0.49371521153996917
Primary metals,1997,47974.0,32433.0,15541.0,0.3239463042481344
Primary metals,1998,48859.0,33265.0,15594.0,0.3191633066579341
Primary metals,1999,46090.0,33679.0,12411.0,0.269277500542417
Primary metals,2000,46928.0,34422.0,12506.0,0.26649335151721787
Primary metals,2001,40174.0,31665.0,8509.0,0.2118036541046448
Primary metals,2002,41587.0,29314.0,12273.0,0.2951162622935052
Primary metals,2003,39176.0,28570.0,10606.0,0.2707269756994078
Primary metals,2004,54878.0,30053.0,24825.0,0.4523670687707278
Primary metals,2005,56120.0,30701.0,25419.0,0.4529401282965075
Primary metals,2006,62560.0,31977.0,30583.0,0.48885869565217394
Primary metals,2007,64434.0,32497.0,31937.0,0.4956544681379396
Primary metals,2008,68733.0,33007.0,35726.0,0.5197794363697205
Primary metals,2009,41011.0,25596.0,15415.0,0.37587476530686886
Primary metals,2010,50837.0,26684.0,24153.0,0.47510671361409995
Primary metals,2011,62544.0,29685.0,32859.0,0.5253741366078281
Primary metals,2012,65651.0,31221.0,34430.0,0.524439840977289
Primary metals,2013,62569.0,30869.0,31700.0,0.5066406687017533
Primary metals,2014,64376.0,31826.0,32550.0,0.5056232136199826
Primary metals,2015,60381.0,31636.0,28745.0,0.476060350110134
Primary metals,2016,57221.0,30388.0,26833.0,0.46893622970587723
Primary metals,2017,59640.0,31764.0,27876.0,0.46740442655935616
Primary metals,2018,67644.0,33977.0,33667.0,0.4977085920406836
Primary metals,2019,67286.0,34038.0,33248.0,0.49412953660494013
Primary metals,2020,56054.0,30380.0,25674.0,0.45802262104399327
Primary metals,2021,72985.0,33982.0,39003.0,0.5343974789340276
Primary metals,2022,84618.0,38113.0,46505.0,0.5495875582027464
Primary metals,2023,83790.0,40164.0,43626.0,0.5206587898317222
Fabricated metal products,1997,109827.0,72412.0,37415.0,0.34067214801460477
Fabricated metal products,1998,111510.0,75834.0,35676.0,0.3199354317998386
Fabricated metal products,1999,115847.0,77626.0,38221.0,0.3299265410412009
Fabricated metal products,2000,121073.0,81634.0,39439.0,0.32574562454056644
Fabricated metal products,2001,110720.0,78645.0,32075.0,0.28969472543352603
Fabricated metal products,2002,105911.0,75501.0,30410.0,0.2871278715147624
Fabricated metal products,2003,108300.0,75252.0,33048.0,0.3051523545706371
Fabricated metal products,2004,114457.0,78988.0,35469.0,0.3098893034065195
Fabricated metal products,2005,122169.0,83076.0,39093.0,0.31999115978685266
Fabricated metal products,2006,126558.0,87625.0,38933.0,0.3076297033771077
Fabricated metal products,2007,134713.0,91152.0,43561.0,0.32336151670588587
Fabricated metal products,2008,132809.0,91776.0,41033.0,0.30896249501163325
Fabricated metal products,2009,117298.0,79690.0,37608.0,0.320619277396034
Fabricated metal products,2010,119935.0,80163.0,39772.0,0.33161295701838495
Fabricated metal products,2011,127031.0,85534.0,41497.0,0.3266682935661374
Fabricated metal products,2012,137719.0,91930.0,45789.0,0.33248135696599596
Fabricated metal products,2013,140086.0,92952.0,47134.0,0.3364647430863898
Fabricated metal products,2014,141431.0,97835.0,43596.0,0.3082492522855668
Fabricated metal products,2015,143759.0,99179.0,44580.0,0.31010232402840865
Fabricated metal products,2016,141438.0,97555.0,43883.0,0.31026315417356015
Fabricated metal products,2017,144142.0,101358.0,42784.0,0.2968184151739257
Fabricated metal products,2018,151223.0,106811.0,44412.0,0.29368548435092545
Fabricated metal products,2019,157927.0,108356.0,49571.0,0.3138855293901613
Fabricated metal products,2020,147706.0,99154.0,48552.0,0.3287070261194535
Fabricated metal products,2021,147117.0,106918.0,40199.0,0.27324510423676396
Fabricated metal products,2022,174342.0,118306.0,56036.0,0.321414231797272
Fabricated metal products,2023,187531.0,125005.0,62526.0,0.333416875076654
Machinery,1997,102108.0,72354.0,29754.0,0.2913973439887178
Machinery,1998,113655.0,74946.0,38709.0,0.34058334433152965
Machinery,1999,110965.0,76056.0,34909.0,0.3145946920200063
Machinery,2000,112928.0,80170.0,32758.0,0.29007863417398694
Machinery,2001,105215.0,74926.0,30289.0,0.287877203820748
Machinery,2002,98801.0,69568.0,29233.0,0.29587757208935134
Machinery,2003,97264.0,68686.0,28578.0,0.2938188846849811
Machinery,2004,104000.0,71844.0,32156.0,0.3091923076923077
Machinery,2005,114210.0,75459.0,38751.0,0.3392960336222748
Machinery,2006,121709.0,79304.0,42405.0,0.3484130179362249
Machinery,2007,129404.0,82801.0,46603.0,0.360135699051034
Machinery,2008,131518.0,84207.0,47311.0,0.3597302270411655
Machinery,2009,118375.0,73942.0,44433.0,0.37535797254487857
Machinery,2010,127181.0,75166.0,52015.0,0.408984046359126
Machinery,2011,144661.0,83234.0,61427.0,0.42462723194226504
Machinery,2012,152772.0,88411.0,64361.0,0.42128793234362316
Machinery,2013,157018.0,88681.0,68337.0,0.435217618362226
Machinery,2014,158064.0,92621.0,65443.0,0.4140284947869218
Machinery,2015,148723.0,94664.0,54059.0,0.3634878263617598
Machinery,2016,139142.0,90788.0,48354.0,0.3475154877750787
Machinery,2017,147412.0,94780.0,52632.0,0.357040132417985
Machinery,2018,154607.0,100457.0,54150.0,0.3502428738672893
Machinery,2019,160714.0,101911.0,58803.0,0.3658859837973045
Machinery,2020,149809.0,93785.0,56024.0,0.3739695211903157
Machinery,2021,157150.0,100097.0,57053.0,0.3630480432707604
Machinery,2022,175294.0,110011.0,65283.0,0.3724200486040595
Machinery,2023,200067.0,116527.0,83540.0,0.41756011736068416
Computer and electronic products,1997,195104.0,109732.0,85372.0,0.43757175660160735
Computer and electronic products,1998,191503.0,118402.0,73101.0,0.3817224795434014
Computer and electronic products,1999,186439.0,128597.0,57842.0,0.3102462467616754
Computer and electronic products,2000,225047.0,149631.0,75416.0,0.33511222100272386
Computer and electronic products,2001,173225.0,136220.0,37005.0,0.213623899552605
Computer and electronic products,2002,172663.0,120047.0,52616.0,0.30473233987594334
Computer and electronic products,2003,193243.0,115829.0,77414.0,0.4006044203412284
Computer and electronic products,2004,201239.0,119634.0,81605.0,0.4055128479072148
Computer and electronic products,2005,210901.0,123200.0,87701.0,0.41583965936624295
Computer and electronic products,2006,223780.0,129630.0,94150.0,0.42072571275359727
Computer and electronic products,2007,228144.0,131824.0,96320.0,0.4221894943544428
Computer and electronic products,2008,229458.0,128167.0,101291.0,0.4414359054816132
Computer and electronic products,2009,218252.0,118619.0,99633.0,0.45650440774884077
Computer and electronic products,2010,228414.0,123468.0,104946.0,0.4594551997688408
Computer and electronic products,2011,226975.0,128747.0,98228.0,0.43277012886881816
Computer and electronic products,2012,227609.0,130662.0,96947.0,0.4259365842299733
Computer and electronic products,2013,227189.0,128137.0,99052.0,0.435989418501776
Computer and electronic products,2014,230637.0,132262.0,98375.0,0.4265360718358286
Computer and electronic products,2015,241520.0,137529.0,103991.0,0.4305688969857569
Computer and electronic products,2016,240308.0,142701.0,97607.0,0.4061745759608502
Computer and electronic products,2017,248364.0,150706.0,97658.0,0.3932051343995104
Computer and electronic products,2018,259548.0,158131.0,101417.0,0.39074467921155237
Computer and electronic products,2019,265853.0,161194.0,104659.0,0.3936724430418314
Computer and electronic products,2020,273147.0,168704.0,104443.0,0.38236920046714773
Computer and electronic products,2021,292014.0,182630.0,109384.0,0.3745847801817721
Computer and electronic products,2022,298248.0,187212.0,111036.0,0.3722941981170033
Computer and electronic products,2023,307464.0,197451.0,110013.0,0.3578077433455624
"Electrical equipment, appliances, and components",1997,46800.0,27006.0,19794.0,0.42294871794871797
"Electrical equipment, appliances, and components",1998,40512.0,28108.0,12404.0,0.30618088467614535
"Electrical equipment, appliances, and components",1999,44523.0,29501.0,15022.0,0.3373986478898547
"Electrical equipment, appliances, and components",2000,45597.0,31274.0,14323.0,0.31412154308397483
"Electrical equipment, appliances, and components",2001,44206.0,30045.0,14161.0,0.32034113016332627
"Electrical equipment, appliances, and components",2002,43631.0,28038.0,15593.0,0.357383511723316
"Electrical equipment, appliances, and components",2003,45485.0,27704.0,17781.0,0.3909200835440255
"Electrical equipment, appliances, and components",2004,41999.0,28558.0,13441.0,0.3200314293197457
"Electrical equipment, appliances, and components",2005,43143.0,29092.0,14051.0,0.32568435203856944
"Electrical equipment, appliances, and components",2006,51349.0,30292.0,21057.0,0.41007614559192973
"Electrical equipment, appliances, and components",2007,50213.0,31038.0,19175.0,0.3818732200824488
"Electrical equipment, appliances, and components",2008,55545.0,30871.0,24674.0,0.4442164011162121
"Electrical equipment, appliances, and components",2009,50892.0,28568.0,22324.0,0.43865440540752965
"Electrical equipment, appliances, and components",2010,51634.0,29199.0,22435.0,0.43450052291126
"Electrical equipment, appliances, and components",2011,49377.0,30644.0,18733.0,0.37938716406424045
"Electrical equipment, appliances, and components",2012,52901.0,31890.0,21011.0,0.3971758567890966
"Electrical equipment, appliances, and components",2013,57802.0,33017.0,24785.0,0.42879139130133903
"Electrical equipment, appliances, and components",2014,53553.0,33582.0,19971.0,0.3729202845778948
"Electrical equipment, appliances, and components",2015,61569.0,34671.0,26898.0,0.4368757004336598
"Electrical equipment, appliances, and components",2016,56146.0,34953.0,21193.0,0.37746233035300825
"Electrical equipment, appliances, and components",2017,57780.0,36459.0,21321.0,0.3690031152647975
"Electrical equipment, appliances, and components",2018,59888.0,37625.0,22263.0,0.3717439219877104
"Electrical equipment, appliances, and components",2019,60246.0,38230.0,22016.0,0.36543504962985096
"Electrical equipment, appliances, and components",2020,57873.0,36814.0,21059.0,0.36388298515715445
"Electrical equipment, appliances, and components",2021,61346.0,39291.0,22055.0,0.35951814299220813
"Electrical equipment, appliances, and components",2022,70081.0,42034.0,28047.0,0.40020833036058273
"Electrical equipment, appliances, and components",2023,76392.0,44972.0,31420.0,0.41129961252487174
"Motor vehicles, bodies and trailers, and parts",1997,111847.0,63330.0,48517.0,0.4337800745661484
"Motor vehicles, bodies and trailers, and parts",1998,123684.0,71422.0,52262.0,0.42254454901199834
"Motor vehicles, bodies and trailers, and parts",1999,134601.0,77205.0,57396.0,0.426415851293824
"Motor vehicles, bodies and trailers, and parts",2000,137320.0,80210.0,57110.0,0.41588989222254585
"Motor vehicles, bodies and trailers, and parts",2001,124768.0,73361.0,51407.0,0.41202071043857397
"Motor vehicles, bodies and trailers, and parts",2002,135056.0,73815.0,61241.0,0.4534489396990878
"Motor vehicles, bodies and trailers, and parts",2003,142949.0,75609.0,67340.0,0.47107709742635484
"Motor vehicles, bodies and trailers, and parts",2004,138896.0,76232.0,62664.0,0.45115770072572287
"Motor vehicles, bodies and trailers, and parts",2005,135761.0,75371.0,60390.0,0.444825833634107
"Motor vehicles, bodies and trailers, and parts",2006,133828.0,75408.0,58420.0,0.43653047194906897
